env/reward_dist_mean,time/iterations,env/reward_ctrl_mean,env/d_right_mean,env/reward_shaping_mean,env/reward_total_mean,time/fps,time/time_elapsed,env/reward_climb_mean,env/success_rate,time/total_timesteps,env/d_left_mean,train/clip_fraction,train/clip_range,train/n_updates,train/approx_kl,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,eval/mean_ep_length,eval/success_rate,eval/mean_reward
-0.8288934388429092,1,0.0,0.8288934388429092,-9.281668408374632e-06,-0.8289027205113177,869,2,0.0,0.0,2048,0.006886099991323137,,,,,,,,,,,,,,,,,
-0.8576781884362361,2,0.0,0.8576781884362361,1.91643147124787e-05,-0.8576590241215238,709,5,0.0,0.0,4096,0.009654514289373715,0.078857421875,0.2,10,0.0070863683,1.000905990600586,-0.007028915070986841,35.50983157195151,-0.011091470718383789,-8.51612429022789,0.0001,0.7813012003898621,,,,,,
-0.810673795758434,3,0.0,0.810673795758434,-4.418369278133272e-06,-0.8106782141277121,676,9,0.0,0.0,6144,0.00887764444505105,0.019580078125,0.2,20,0.004920248,0.9995778203010559,-0.00047104073310038074,28.41939985899371,0.011821150779724121,-8.51777954697609,0.0001,0.05134861171245575,5000.0,0.0,-4053.225938,,,
-0.8537060779366681,4,0.0,0.8537060779366681,-3.633070212868961e-06,-0.853709711006881,661,12,0.0,0.0,8192,0.009912482274913342,4.8828125e-05,0.2,30,0.001361632,0.9990928173065186,-0.0006452172412537039,28.134735152870416,0.34044885635375977,-8.508412510156631,0.0001,1.8184276819229126,5000.0,0.0,-4053.225938,,,
-0.3606040714219805,5,0.0,0.3606040714219805,-0.000798236914923979,-0.3614023083369044,647,15,0.0,0.0,10240,0.010863290117571686,0.0046875,0.2,40,0.0037259301,0.9990281462669373,-0.0006007718955515883,18.75982099934481,0.13761413097381592,-8.508468255400658,0.0001,0.06963834166526794,5000.0,0.0,-4050.177878,,,
-0.8414261781926652,6,0.0,0.8414261781926652,3.751735110265664e-05,-0.8413886608415626,642,19,0.0,0.0,12288,0.009911747830077783,0.00068359375,0.2,50,0.0024060137,0.9981498122215271,-0.00029100124520482497,15.20629685666645,0.29086363315582275,-8.507978665828706,0.0001,0.4008108377456665,5000.0,0.0,-4050.177878,,,
-0.855344265836147,7,0.0,0.855344265836147,9.975554957220855e-06,-0.8553342902811898,632,22,0.0,0.0,14336,0.0097875645827891,0.0244140625,0.2,60,0.0058528273,0.9968407154083252,-0.003768154860881623,6.750790226698155,0.8290214538574219,-8.49855605661869,0.0001,0.6061658263206482,5000.0,0.0,-4050.177878,,,
-0.8400793266605002,8,0.0,0.8400793266605002,-4.2911606935841506e-05,-0.8401222382674363,628,26,0.0,0.0,16384,0.009192598687240388,0.02021484375,0.2,70,0.003221577,0.9931149482727051,-0.0007026067956758198,4.112085509329336,0.1961144208908081,-8.489777684211731,0.0001,0.020756632089614868,5000.0,0.0,-4067.4407243333335,,,
-0.844127996880768,9,0.0,0.844127996880768,6.438013135630638e-06,-0.8441215588676323,622,29,0.0,0.0,18432,0.010083696693202202,0.023828125,0.2,80,0.004432867,0.9907259941101074,-0.0039457306251279075,2.654521695920266,0.7487959861755371,-8.466608107089996,0.0001,0.049349356442689896,5000.0,0.0,-4067.4407243333335,,,
-0.653665940475745,10,0.0,0.653665940475745,-0.0006073339006281661,-0.6542732743763731,616,33,0.0,0.0,20480,0.011894780966824912,0.067919921875,0.2,90,0.009288472,0.9850217700004578,-0.003941190506157,1.4890495502899284,0.11540055274963379,-8.445783320069314,0.0001,0.004799901973456144,5000.0,0.0,-4066.82170175,,,
-0.8155629752663774,11,0.0,0.8155629752663774,2.2646389138114008e-05,-0.8155403288772394,615,36,0.0,0.0,22528,0.010431827251173744,0.03193359375,0.2,100,0.005871796,0.9831494688987732,-0.004396578317391686,1.1222706067492254,0.8690300583839417,-8.419138437509536,0.0001,0.04170724004507065,5000.0,0.0,-4066.82170175,,,
-0.8159725641518262,12,0.0,0.8159725641518262,-4.7936487595129366e-06,-0.8159773578005857,612,40,0.0,0.0,24576,0.011317031532901263,0.07890625,0.2,110,0.0050526457,0.984368085861206,-0.0052130644675344225,0.2123615152275306,0.8537577986717224,-8.41476375758648,0.0001,0.018679559230804443,5000.0,0.0,-4066.82170175,,,
-0.8023427012436463,13,0.0,0.8023427012436463,5.084032703663865e-06,-0.8023376172109427,612,43,0.0,0.0,26624,0.011877002310922324,0.14736328125,0.2,120,0.0118462425,0.9841842651367188,-0.012964921569800936,0.1066705431061564,0.4599306583404541,-8.417882749438286,0.0001,0.028428947553038597,5000.0,0.0,-4031.6761028,,,
-0.807407874846144,14,0.0,0.807407874846144,-3.235890420608012e-05,-0.80744023375035,611,46,0.0,0.0,28672,0.011570479538687334,0.01337890625,0.2,130,0.0041801627,0.9842896461486816,-0.0037442875327542424,0.3367951191263273,0.9479888677597046,-8.418467184901237,0.0001,0.040475212037563324,5000.0,0.0,-4031.6761028,,,
