env/d_right_mean,env/reward_shaping_mean,env/reward_dist_mean,time/time_elapsed,env/reward_ctrl_mean,time/total_timesteps,env/d_left_mean,env/reward_total_mean,time/fps,time/iterations,env/reward_climb_mean,env/success_rate,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.06499050751239083,-6.808535533933679e-07,-0.06499050751239083,2,0.0,2048,0.013245578315868272,-0.06499118836594421,684,1,0.0,0.0,,,,,,,,,,,,,,,,,
0.06450108652878074,-6.438411137059396e-07,-0.06450108652878074,6,0.0,4096,0.013216132128352143,-0.06450173036989444,590,2,0.0,0.0,0.992387056350708,0.7507893443107605,-0.009339773893589153,0.2,0.0014931784084183165,3660,0.1181640625,-0.0075841182842850685,-6.6318463906645775,0.011546753,0.0001,,,,,,
0.0648585123406029,5.245102074924804e-07,-0.0648585123406029,10,0.0,6144,0.0132853454876413,-0.06485798783039541,565,3,0.0,0.0,0.5261380672454834,0.750194787979126,0.0010191821987973527,0.2,5.3048353771600885e-05,3670,0.113427734375,0.03701714798808098,-6.627245725691319,0.008166031,0.0001,0.0,5000.0,-334.214686,,,
0.0646658857033541,-1.7061556883628952e-06,-0.0646658857033541,14,0.0,8192,0.013201460211487217,-0.06466759185904246,553,4,0.0,0.0,0.9966220855712891,0.7526859641075134,-0.002118545915436698,0.2,0.001381117450137026,3680,0.123388671875,-0.015016012825071812,-6.634655095636845,0.009910285,0.0001,0.0,5000.0,-334.214686,,,
0.07996778852380373,0.00029677628481603876,-0.07996778852380373,18,0.0,10240,0.012331510052651113,-0.07967101223898769,546,5,0.0,0.0,0.6140022277832031,0.7500252723693848,8.609648648416624e-06,0.2,5.245572504009033e-05,3690,0.079931640625,-0.01073549222201109,-6.633112499117852,0.007978045,0.0001,0.0,5000.0,-334.2531775,,,
0.06427868383003102,1.3160178386237634e-06,-0.06427868383003102,22,0.0,12288,0.013262891179560303,-0.0642773678121924,543,6,0.0,0.0,0.9860438108444214,0.7492623329162598,-0.0022226870900340146,0.2,0.001496705462477621,3700,0.110498046875,0.017796965315937996,-6.617321614921093,0.008937351,0.0001,0.0,5000.0,-334.2531775,,,
0.06454175085708315,-7.058816495223927e-07,-0.06454175085708315,26,0.0,14336,0.013294144074475125,-0.06454245673873267,541,7,0.0,0.0,0.7461380958557129,0.7476286292076111,0.001270403404487297,0.2,0.00020861814232375764,3710,0.07919921875,-0.009173650294542313,-6.608084201812744,0.006379173,0.0001,0.0,5000.0,-334.2531775,,,
0.06457579290419475,-4.180735441634484e-07,-0.06457579290419475,30,0.0,16384,0.01328385606274908,-0.06457621097773893,539,8,0.0,0.0,0.3385494351387024,0.7472992539405823,-0.002007652079919353,0.2,7.62850714522756e-05,3720,0.11220703125,0.0026923147961497307,-6.602113248407841,0.008993754,0.0001,0.0,5000.0,-334.854094,,,
0.06456101420143182,-3.6869429693182213e-07,-0.06456101420143182,34,0.0,18432,0.013245560916299725,-0.06456138289572873,538,9,0.0,0.0,0.9959620833396912,0.7464103698730469,-0.0058578905744070655,0.2,0.0015575550514313364,3730,0.12626953125,-0.003985910676419735,-6.595797032117844,0.010639547,0.0001,0.0,5000.0,-334.854094,,,
0.06377278511419159,-2.025834983669303e-06,-0.06377278511419159,38,0.0,20480,0.013323023007674304,-0.06377481094917525,536,10,0.0,0.0,0.3564203977584839,0.7471888661384583,-0.0009462187546887435,0.2,5.0418617024661214e-05,3740,0.09677734375,0.021617988124489784,-6.596760796010495,0.00769267,0.0001,0.0,5000.0,-334.794722,,,
