time/total_timesteps,env/d_right_mean,env/d_left_mean,env/reward_total_mean,time/iterations,env/reward_dist_mean,time/time_elapsed,env/reward_ctrl_mean,env/reward_climb_mean,env/reward_shaping_mean,env/success_rate,time/fps,train/clip_fraction,train/value_loss,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,eval/mean_reward,eval/mean_ep_length,eval/success_rate
2048,0.06443955017621943,0.013353512321361947,-0.0644399301192415,1,-0.06443955017621943,3,0.0,0.0,-3.799430220815733e-07,0.0,668,,,,,,,,,,,,,,,,,
4096,0.06481962998847118,0.01325616707597161,-0.06481762669049734,2,-0.06481962998847118,7,0.0,0.0,2.0032979738503903e-06,0.0,580,0.14970703125,0.0013778315364106676,0.9810837507247925,0.014721338,0.7535545825958252,-6.640558396279812,0.1217115968465805,3660,0.2,0.0001,0.0018369421843090095,,,,,,
6144,0.06435836358075332,0.013283396375394486,-0.06435785041519267,3,-0.06435836358075332,10,0.0,0.0,5.131655606503693e-07,0.0,560,0.11591796875,3.274177880996376e-05,0.6119490265846252,0.009609994,0.7514916062355042,-6.639482851326465,-0.01722957380115986,3670,0.2,0.0001,-0.0009447306540096179,2584.0,-77.086999,0.5,,,
8192,0.06488296411437611,0.013211460894219717,-0.06488210702799789,4,-0.06488296411437611,14,0.0,0.0,8.570863782251039e-07,0.0,548,0.042041015625,107.85343560185284,0.015424728393554688,0.006009817,0.7514382004737854,-6.629109099507332,13.303258895874023,3680,0.2,0.0001,-0.0008012208731088321,2584.0,-77.086999,0.5,,,
10240,0.11426473690481725,0.01260254372114714,-0.11397468536962321,5,-0.11426473690481725,18,0.0,0.0,0.000290051535194045,0.0,543,0.071337890625,0.24139448632486166,0.08545386791229248,0.0049476647,0.751329243183136,-6.62869635373354,0.08664089441299438,3690,0.2,0.0001,-0.0024494852259522304,3389.3333333333335,-163.61061400000003,0.3333333333333333,,,
12288,0.06509551105752856,0.013385043338866103,-0.06509483927931155,6,-0.06509551105752856,22,0.0,0.0,6.71778217008652e-07,0.0,539,0.0794921875,0.05030626803054474,0.777996301651001,0.0068615945,0.7506378293037415,-6.625587350130081,0.030360843986272812,3700,0.2,0.0001,-0.002053649368463084,3389.3333333333335,-163.61061400000003,0.3333333333333333,,,
14336,0.06529663702286281,0.013230903672974964,-0.06529730555454562,7,-0.06529663702286281,26,0.0,0.0,-6.685316827918439e-07,0.0,536,0.15390625,0.011955865556956269,0.7407835721969604,0.007872184,0.7481600642204285,-6.61275506913662,0.00599690480157733,3710,0.2,0.0001,-0.002288645388034638,3389.3333333333335,-163.61061400000003,0.3333333333333333,,,
16384,0.06497776195437921,0.013289900133384727,-0.06497780000657853,8,-0.06497776195437921,30,0.0,0.0,-3.8052199319224546e-08,0.0,533,0.114453125,0.007349149275978561,0.44390803575515747,0.007858234,0.7478170990943909,-6.601446861028672,-0.00696080457419157,3720,0.2,0.0001,-0.002833457630185876,3792.0,-206.65251475000002,0.25,,,
18432,0.0651967957766759,0.013449904329221152,-0.06519696303456532,9,-0.0651967957766759,34,0.0,0.0,-1.6725788941279046e-07,0.0,530,0.14169921875,0.010250930486654397,0.8757928609848022,0.006923681,0.7464132905006409,-6.594737830758095,0.0014667091891169548,3730,0.2,0.0001,-0.006604353733564494,3792.0,-206.65251475000002,0.25,,,
20480,0.11546397935348594,0.013587725109807476,0.6123281777711219,10,-0.11546397935348594,38,0.0,0.0,0.00026770454915155497,0.005,530,0.11083984375,0.0010570547035058553,0.5987439155578613,0.0056960657,0.7470983862876892,-6.590297448635101,-0.0036813190672546625,3740,0.2,0.0001,0.00023106152075342835,3384.1666666666665,-172.3721115,0.3333333333333333,,,
22528,0.08204845080404546,0.014107627951250952,-0.082048661166675,11,-0.08204845080404546,42,0.0,0.0,-2.1036262953640084e-07,0.0,532,0.070166015625,62.87206261502579,0.0736457109451294,0.00516723,0.7470035552978516,-6.589994914829731,33.30360412597656,3750,0.2,0.0001,0.0014702487053000369,3384.1666666666665,-172.3721115,0.3333333333333333,,,
24576,0.08222930019162533,0.014138590640532977,-0.08223060792744227,12,-0.08222930019162533,46,0.0,0.0,-1.3077358169458208e-06,0.0,533,0.0896484375,2.0053932793438434,0.3352202773094177,0.009653376,0.7463657259941101,-6.587544156610965,0.9652771949768066,3760,0.2,0.0001,-0.006941929430468008,3384.1666666666665,-172.3721115,0.3333333333333333,,,
