env/d_right_mean,env/reward_dist_mean,env/reward_total_mean,env/reward_ctrl_mean,time/time_elapsed,time/fps,env/d_left_mean,time/iterations,env/success_rate,env/reward_climb_mean,time/total_timesteps,env/reward_shaping_mean,train/std,train/clip_range,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,eval/success_rate,eval/mean_reward,eval/mean_ep_length
0.06470105770202296,-0.06470105770202296,-0.06470019071562909,0.0,2,686,0.013306475188022922,1,0.0,0.0,2048,8.669863938714357e-07,,,,,,,,,,,,,,,,,
0.06488551108817951,-0.06488551108817951,-0.06488715286438845,0.0,6,595,0.013307436975030482,2,0.0,0.0,4096,-1.6417762089489598e-06,0.7518698573112488,0.2,3660,0.013582611,-6.63583937138319,0.9840799570083618,-0.0009081168042030186,0.102099609375,0.0027094365406810537,0.0001,0.004941985011100769,,,,,,
0.0648640867561814,-0.0648640867561814,-0.064864020615281,0.0,11,558,0.01334113277278147,3,0.0,0.0,6144,6.614090039758908e-08,0.7529147267341614,0.2,3670,0.008434305,-6.645593918859959,0.5004204511642456,-0.004378728610754478,0.1474609375,0.000147545580739461,0.0001,0.009578247554600239,5000.0,-334.950603,0.0,,,
0.06500567765253272,-0.06500567765253272,-0.06500544392461978,0.0,15,544,0.013083397335103393,4,0.0,0.0,8192,2.337279129515854e-07,0.75334233045578,0.2,3680,0.010641351,-6.6527982249856,0.9922428131103516,-0.004551562631240813,0.128515625,0.0014577422496131476,0.0001,-0.006861100904643536,5000.0,-334.950603,0.0,,,
0.08242835817052452,-0.08242835817052452,-0.0821262120221591,0.0,19,535,0.012341072686571537,5,0.0,0.0,10240,0.00030214614836540556,0.7528271079063416,0.2,3690,0.008155525,-6.648982731997966,0.6725472807884216,-0.0002803816460072994,0.103125,0.00019614733369053284,0.0001,0.002373193623498082,5000.0,-334.854611,0.0,,,
0.06476272260517538,-0.06476272260517538,-0.06476213738467292,0.0,23,530,0.013153811212461815,6,0.0,0.0,12288,5.852205024549709e-07,0.7505950331687927,0.2,3700,0.009523032,-6.638322953879833,0.9785758852958679,-0.004433338305534562,0.12509765625,0.0017862316170521807,0.0001,-0.022665003314614296,5000.0,-334.854611,0.0,,,
0.06466902956618155,-0.06466902956618155,-0.06466837332925232,0.0,27,527,0.01313435981780338,7,0.0,0.0,14336,6.562369292208853e-07,0.7515401244163513,0.2,3710,0.0066847857,-6.6338344603776935,0.6855379343032837,0.00197938244236866,0.07109375,0.00015149272035159812,0.0001,0.013839083723723888,5000.0,-334.854611,0.0,,,
0.08329467472932935,-0.08329467472932935,-0.08329341285877945,0.0,31,528,0.013964857034743577,8,0.0,0.0,16384,1.2618705498915195e-06,0.7514449954032898,0.2,3720,0.006412661,-6.6341394752264025,0.5133857727050781,0.0009001537167932838,0.092578125,7.996294270924409e-05,0.0001,0.00418384512886405,5000.0,-334.95204766666666,0.0,,,
0.08238850090944684,-0.08238850090944684,-0.08239030559962325,0.0,34,531,0.014111544571214236,9,0.0,0.0,18432,-1.8046901764120008e-06,0.7523488402366638,0.2,3730,0.007840147,-6.636363759636879,0.9272104501724243,-0.004031130476505496,0.101318359375,0.013172792534169276,0.0001,0.0013333335518836975,5000.0,-334.95204766666666,0.0,,,
0.0666707851200562,-0.0666707851200562,-0.06666599252464907,0.0,38,533,0.01295973418665517,10,0.0,0.0,20480,4.792595407131263e-06,0.7523736953735352,0.2,3740,0.010047319,-6.640769025683403,0.18452966213226318,-0.008064133548759855,0.180615234375,0.00213655667121202,0.0001,-0.02613592892885208,5000.0,-356.6793465,0.0,,,
